bibliography.congress classifications,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.rank,metadata.url,bibliography.author.birth,bibliography.author.death,bibliography.author.name,bibliography.publication.day,bibliography.publication.full,bibliography.publication.month,bibliography.publication.month name,bibliography.publication.year,metadata.formats.total,metadata.formats.types,metrics.difficulty.automated readability index,metrics.difficulty.coleman liau index,metrics.difficulty.dale chall readability score,metrics.difficulty.difficult words,metrics.difficulty.flesch kincaid grade,metrics.difficulty.flesch reading ease,metrics.difficulty.gunning fog,metrics.difficulty.linsear write formula,metrics.difficulty.smog index,metrics.sentiments.polarity,metrics.sentiments.subjectivity,metrics.statistics.average letter per word,metrics.statistics.average sentence length,metrics.statistics.average sentence per word,metrics.statistics.characters,metrics.statistics.polysyllables,metrics.statistics.sentences,metrics.statistics.syllables,metrics.statistics.words
PR,en,"Sisters -- Fiction,Courtship -- Fiction,Social classes -- Fiction,England -- Fiction,Domestic fiction,Young women -- Fiction,Love stories",Pride and Prejudice,Text,36576,1342,1,https://www.gutenberg.org/ebooks/1342,1775,1817,"Austen, Jane",1,"June, 1998",6,June,1998,8,"text/plain,text/plain; charset=us-ascii,application/pdf,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",10.7,10.73,5.7,9032,7.9,70.13,9.2,13.5,3.1,0.1367133776,0.5222391495,4.83,18,0.05,586794,4603,6511,170648.1,121533
PS,en,"Mentally ill women -- Fiction,Feminist fiction,Psychological fiction,Married women -- Psychology -- Fiction,Sex role -- Fiction",The Yellow Wallpaper,Text,26363,1952,2,https://www.gutenberg.org/ebooks/1952,1860,1935,"Gilman, Charlotte Perkins",1,"November, 1999",11,November,1999,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",7.2,8,6.24,714,5.6,81.63,8,5.5,3.1,0.05417429337,0.5347874264,4.41,15,0.06,26769,102,385,7686.9,6067
"PZ,PR",en,Fantasy,Alice's Adventures in Wonderland,Text,18882,11,3,https://www.gutenberg.org/ebooks/11,1832,1898,"Carroll, Lewis",1,"March, 1994",3,March,1994,8,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/pdf",9.3,9.39,5.93,2425,6.4,79.6,8.8,14,3.1,0.04107860875,0.4972763671,4.65,17,0.06,122719,339,1501,33810.3,26389
PR,en,"Monsters -- Fiction;Frankenstein's monster (Fictitious character) -- Fiction;Gothic fiction (Literary genre);Science fiction;Frankenstein, Victor (Fictitious character) -- Fiction;Scientists -- Fiction;Horror tales","Frankenstein; Or, The Modern Prometheus",Text,17128,84,4,https://www.gutenberg.org/ebooks/84,1797,1851,"Shelley, Mary Wollstonecraft",17,"June 17, 2008",6,June,2008,7,"text/html; charset=iso-8859-1,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",12.6,10.68,6.44,7884,9.9,65.05,11.2,7,3.1,0.1009015363,0.5395161488,4.77,23,0.04,357604,2604,3239,106802.1,74959
PT,en,"Psychological fiction,Metamorphosis -- Fiction",Metamorphosis,Text,15683,5200,5,https://www.gutenberg.org/ebooks/5200,1883,1924,"Kafka, Franz",16,"August 16, 2005",8,August,2005,8,"text/plain; charset=us-ascii,text/rtf,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",13.8,9.46,6.37,1947,10.3,69.45,12.8,10.5,3.1,0.04199693567,0.4790192155,4.56,27,0.04,100372,397,800,28752.3,22022
PS,en,"Male friendship -- Fiction;Humorous stories;Missouri -- Fiction;Race relations -- Fiction;Bildungsromans;Finn, Huckleberry (Fictitious character) -- Fiction;Fugitive slaves -- Fiction;Mississippi River -- Fiction;Adventure stories;Runaway children -- Fiction;Boys -- Fiction",Adventures of Huckleberry Finn,Text,15347,76,6,https://www.gutenberg.org/ebooks/76,1835,1910,"Twain, Mark",20,"August 20, 2006",8,August,2006,8,"image/jpeg,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",8.7,8.01,5.59,7087,6,86.03,9.6,2.5,3.1,0.08931925862,0.4745187952,4.36,19,0.05,485099,1180,5792,132642.9,111219
PR,en,"Identity (Psychology) -- Drama,Comedies,England -- Drama,Foundlings -- Drama",The Importance of Being Earnest: A Trivial Comedy for Serious People,Text,13638,844,7,https://www.gutenberg.org/ebooks/844,1854,1900,"Wilde, Oscar",29,"August 29, 2006",8,August,2006,7,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain",7,9.89,5.96,2387,4.8,78.25,6,3,3.1,0.1002696851,0.5347843431,4.94,10,0.1,101906,555,1994,29187,20625
"PZ,PS",en,"Male friendship -- Fiction;Humorous stories;Missouri -- Fiction;Child witnesses -- Fiction;Bildungsromans;Mississippi River Valley -- Fiction;Adventure stories;Runaway children -- Fiction;Boys -- Fiction;Sawyer, Tom (Fictitious character) -- Fiction",The Adventures of Tom Sawyer,Text,13237,74,8,https://www.gutenberg.org/ebooks/74,1835,1910,"Twain, Mark",20,"August 20, 2006",8,August,2006,8,"image/jpeg,text/html; charset=iso-8859-1,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook",8.8,10.15,6.16,7974,5.6,81.63,8,4.5,3.1,0.0647610783,0.4870484438,4.78,15,0.06,338075,1488,4594,92593.8,70796
E300,en,"Slaves -- United States -- Biography;Douglass, Frederick, 1818-1895;African American abolitionists -- Biography;Abolitionists -- United States -- Biography","Narrative of the Life of Frederick Douglass, an American Slave",Text,12794,23,9,https://www.gutenberg.org/ebooks/23,1818,1895,"Douglass, Frederick",10,"January 10, 2006",1,January,2006,7,"text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",10.5,9.86,6.48,4894,8.3,69.11,9.6,7,3.1,0.09387813584,0.5074296461,4.68,19,0.05,190493,1226,2062,55913.4,40740
PT,en,"Wives -- Drama,Man-woman relationships -- Drama,Marriage -- Drama,Norwegian drama -- Translations into English",A Doll's House : a play,Text,11625,2542,10,https://www.gutenberg.org/ebooks/2542,1828,1906,"Ibsen, Henrik",1,"March, 2001",3,March,2001,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",5.3,7.98,5.53,2342,3.7,86.71,6,4,3.1,0.02626172794,0.580521508,4.61,10,0.1,121943,378,2624,33722.1,26466
